project_id,kpi_name,kpi_value,last_updated
189,Efficiency,-15,2022-07-19 00:00:00
190,User Engagement,20,2022-06-21 00:00:00
191,Product Adoption,2,2023-05-16 00:00:00
192,Product Adoption,20,2023-03-13 00:00:00
193,Product Adoption,-15,2021-12-31 00:00:00
194,Product Adoption,20,2023-08-14 00:00:00
195,Revenue Impact,-15,2022-11-04 00:00:00
196,Healthcare Impact,15,2022-08-31 00:00:00
197,Customer Growth,20,2023-07-06 00:00:00
198,Customer Growth,10,2023-03-02 00:00:00
199,Product Adoption,15,2023-06-18 00:00:00
200,Market Expansion,15,2023-07-06 00:00:00
201,User Engagement,15,2023-04-22 00:00:00
202,User Engagement,15,2022-01-22 00:00:00
203,Product Adoption,-10,2022-12-21 00:00:00
204,Market Expansion,0,2022-02-04 00:00:00
205,Market Expansion,10,2022-05-25 00:00:00
206,Healthcare Impact,-10,2021-09-25 00:00:00
207,Market Share,-15,2023-04-16 00:00:00
208,Healthcare Impact,-10,2023-11-30 00:00:00
209,Market Share,15,2022-12-13 00:00:00
210,Efficiency,15,2021-12-17 00:00:00
211,Market Expansion,0,2022-09-17 00:00:00
212,Customer Growth,20,2023-04-30 00:00:00
213,Healthcare Impact,10,2023-05-07 00:00:00
214,Market Expansion,5,2023-02-26 00:00:00
215,Healthcare Impact,10,2023-11-14 00:00:00
216,Efficiency,15,2021-11-20 00:00:00
217,Market Share,10,2022-06-10 00:00:00
218,Market Expansion,-10,2023-11-10 00:00:00
219,Market Expansion,15,2021-07-25 00:00:00
220,Market Share,0,2023-05-01 00:00:00
221,Healthcare Impact,20,2022-09-11 00:00:00
222,Efficiency,0,2023-12-16 00:00:00
223,Market Expansion,10,2022-08-08 00:00:00
224,Efficiency,15,2021-12-12 00:00:00
225,Revenue Impact,-15,2021-09-16 00:00:00
226,Healthcare Impact,0,2022-12-15 00:00:00
227,Customer Growth,10,2023-12-15 00:00:00
228,Revenue Impact,-10,2022-07-14 00:00:00
229,User Engagement,-10,2022-11-12 00:00:00
230,Market Share,-10,2022-12-09 00:00:00
231,Revenue Impact,5,2022-07-10 00:00:00
232,Efficiency,-15,2021-08-14 00:00:00
233,Market Expansion,10,2022-05-31 00:00:00
234,User Engagement,20,2023-11-08 00:00:00
235,Product Adoption,10,2021-10-21 00:00:00
236,Market Expansion,2,2022-01-01 00:00:00
237,Revenue Impact,15,2023-09-30 00:00:00
238,Market Share,15,2023-09-18 00:00:00
239,Market Share,15,2022-11-30 00:00:00
240,Product Adoption,15,2022-08-15 00:00:00
241,Market Expansion,2,2021-12-24 00:00:00
242,Market Share,5,2021-09-30 00:00:00
243,Efficiency,5,2022-11-20 00:00:00
244,Product Adoption,10,2021-09-17 00:00:00
245,Healthcare Impact,20,2022-01-06 00:00:00
246,Market Expansion,2,2023-04-18 00:00:00
247,Market Share,10,2022-06-24 00:00:00
248,User Engagement,20,2023-07-15 00:00:00
249,Customer Growth,-10,2023-09-23 00:00:00
250,Healthcare Impact,15,2021-11-02 00:00:00
